DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2018,82937,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2019,88581,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2020,75470,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2021,80471,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2022,94148,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2011,57292,b,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2012,61324,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2013,65539,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2014,73519,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2015,80792,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2016,93378,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2017,84743,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2018,105699,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2019,96321,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2020,81918,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2021,83770,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2022,157537,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2011,4073,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2012,4960,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2013,6406,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2014,5368,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2015,5635,,
